,id,length,order,centralizer_order,centralizer_shape,centralizer_small_group,rational,real,power_up,power_map,power_classes,representative
172,78C,10359197753775806101108460320021932782125056000000000,78,78,78,-,False,False,78B^7,-,2,-
173,84A,9619255057077534236743570297163223297687552000000000,84,84,84,-,True,True,-,-,1,-
174,84B,9619255057077534236743570297163223297687552000000000,84,84,84,-,True,True,-,-,1,-
175,84C,9619255057077534236743570297163223297687552000000000,84,84,84,-,True,True,-,-,1,-
176,87A,9287556606833481332028274769674836287422464000000000,87,87,87,-,False,False,87B^5,-,2,-
177,87B,9287556606833481332028274769674836287422464000000000,87,87,87,-,False,False,87A^5,-,2,-
178,88A,9182016190846737225982498920019440420519936000000000,88,88,88,-,False,False,88B^7,-,2,-
179,88B,9182016190846737225982498920019440420519936000000000,88,88,88,-,False,False,88A^7,-,2,-
180,92A,8782798095592531259635433749583812576149504000000000,92,92,92,-,False,False,92B^5,-,2,-
181,92B,8782798095592531259635433749583812576149504000000000,92,92,92,-,False,False,92A^5,-,2,-
182,93A,8688359406392611568671611881308717817266176000000000,93,93,93,-,False,False,93B^11,-,2,-
183,93B,8688359406392611568671611881308717817266176000000000,93,93,93,-,False,False,93A^11,-,2,-
184,94A,8595930051005456126451701116613944223465472000000000,94,94,94,-,False,False,94B^5,-,2,-
185,94B,8595930051005456126451701116613944223465472000000000,94,94,94,-,False,False,94A^5,-,2,-
186,95A,8505446576784346061962735841702218494797414400000000,95,95,95,-,False,False,95B^7,-,2,-
187,95B,8505446576784346061962735841702218494797414400000000,95,95,95,-,False,False,95A^7,-,2,-
188,104A,7769398315331854575831345240016449586593792000000000,104,104,104,-,False,False,104B^11,-,2,-
189,104B,7769398315331854575831345240016449586593792000000000,104,104,104,-,False,False,104A^11,-,2,-
190,105A,7695404045662027389394856237730578638150041600000000,105,105,105,-,True,True,-,-,1,-
191,110A,7345612952677389780785999136015552336415948800000000,110,110,110,-,True,True,-,-,1,-
192,119A,6790062393231200637701343739174039974838272000000000,119,119,119,-,False,False,119B^11,-,2,-
193,119B,6790062393231200637701343739174039974838272000000000,119,119,119,-,False,False,119A^11,-,2,-
